id,ai,probe,score_before,score_after,absolute_score_change,flag_changed
historical-fire-prevention,0,whitespace,0.4907585056571797,0.4907585056571797,0.0,False
historical-fire-prevention,0,uppercase,0.4907585056571797,0.4907585056571797,0.0,False
historical-fire-prevention,0,sentence_bullets,0.4907585056571797,0.48407715621089015,0.006681349446289564,False
historical-fire-prevention,0,digits_as_words,0.4907585056571797,0.4907585056571797,0.0,False
generated-fire-prevention,1,whitespace,0.5279081789531331,0.5279081789531331,0.0,False
generated-fire-prevention,1,uppercase,0.5279081789531331,0.5279081789531331,0.0,False
generated-fire-prevention,1,sentence_bullets,0.5279081789531331,0.5100528278687152,0.017855351084417936,False
generated-fire-prevention,1,digits_as_words,0.5279081789531331,0.5279081789531331,0.0,False
historical-light,0,whitespace,0.4808191297944284,0.4808191297944284,0.0,False
historical-light,0,uppercase,0.4808191297944284,0.4808191297944284,0.0,False
historical-light,0,sentence_bullets,0.4808191297944284,0.4746445283021761,0.006174601492252296,False
historical-light,0,digits_as_words,0.4808191297944284,0.4886597927435125,0.007840662949084087,False
generated-light,1,whitespace,0.5232465101517234,0.5232465101517234,0.0,False
generated-light,1,uppercase,0.5232465101517234,0.5232465101517234,0.0,False
generated-light,1,sentence_bullets,0.5232465101517234,0.504756552386568,0.018489957765155385,False
generated-light,1,digits_as_words,0.5232465101517234,0.5232465101517234,0.0,False
historical-glass-fibers,0,whitespace,0.45075702498643544,0.45075702498643544,0.0,False
historical-glass-fibers,0,uppercase,0.45075702498643544,0.45075702498643544,0.0,False
historical-glass-fibers,0,sentence_bullets,0.45075702498643544,0.4401658678299501,0.010591157156485342,False
historical-glass-fibers,0,digits_as_words,0.45075702498643544,0.4669312277542969,0.016174202767861467,False
generated-glass-fibers,1,whitespace,0.537901987208628,0.537901987208628,0.0,False
generated-glass-fibers,1,uppercase,0.537901987208628,0.537901987208628,0.0,False
generated-glass-fibers,1,sentence_bullets,0.537901987208628,0.5224088261559772,0.015493161052650861,False
generated-glass-fibers,1,digits_as_words,0.537901987208628,0.537901987208628,0.0,False
historical-volcanoes,0,whitespace,0.4391693942767084,0.4391693942767084,0.0,False
historical-volcanoes,0,uppercase,0.4391693942767084,0.4391693942767084,0.0,False
historical-volcanoes,0,sentence_bullets,0.4391693942767084,0.4287622965297445,0.010407097746963911,False
historical-volcanoes,0,digits_as_words,0.4391693942767084,0.45508127410038146,0.015911879823673036,False
generated-volcanoes,1,whitespace,0.5396818599157392,0.5396818599157392,0.0,False
generated-volcanoes,1,uppercase,0.5396818599157392,0.5396818599157392,0.0,False
generated-volcanoes,1,sentence_bullets,0.5396818599157392,0.5246038499955755,0.015078009920163726,False
generated-volcanoes,1,digits_as_words,0.5396818599157392,0.5396818599157392,0.0,False
historical-air-engines,0,whitespace,0.4595119858330142,0.4595119858330142,0.0,False
historical-air-engines,0,uppercase,0.4595119858330142,0.4595119858330142,0.0,False
historical-air-engines,0,sentence_bullets,0.4595119858330142,0.4434579549284051,0.016054030904609107,False
historical-air-engines,0,digits_as_words,0.4595119858330142,0.4595119858330142,0.0,False
generated-air-engines,1,whitespace,0.5225322452191862,0.5225322452191862,0.0,False
generated-air-engines,1,uppercase,0.5225322452191862,0.5225322452191862,0.0,False
generated-air-engines,1,sentence_bullets,0.5225322452191862,0.5089980752719167,0.013534169947269525,False
generated-air-engines,1,digits_as_words,0.5225322452191862,0.5225322452191862,0.0,False
historical-buried-wires,0,whitespace,0.4856842151474489,0.4856842151474489,0.0,False
historical-buried-wires,0,uppercase,0.4856842151474489,0.4856842151474489,0.0,False
historical-buried-wires,0,sentence_bullets,0.4856842151474489,0.4777036176228395,0.00798059752460939,False
historical-buried-wires,0,digits_as_words,0.4856842151474489,0.4856842151474489,0.0,False
generated-buried-wires,1,whitespace,0.5422354873497797,0.5422354873497797,0.0,False
generated-buried-wires,1,uppercase,0.5422354873497797,0.5422354873497797,0.0,False
generated-buried-wires,1,sentence_bullets,0.5422354873497797,0.5245577536886341,0.017677733661145556,True
generated-buried-wires,1,digits_as_words,0.5422354873497797,0.5422354873497797,0.0,False
historical-safety-nuts,0,whitespace,0.4603108885937867,0.4603108885937867,0.0,False
historical-safety-nuts,0,uppercase,0.4603108885937867,0.4603108885937867,0.0,False
historical-safety-nuts,0,sentence_bullets,0.4603108885937867,0.44921487148906764,0.01109601710471908,False
historical-safety-nuts,0,digits_as_words,0.4603108885937867,0.4669500725984089,0.006639184004622212,False
generated-safety-nuts,1,whitespace,0.5488827042548213,0.5488827042548213,0.0,False
generated-safety-nuts,1,uppercase,0.5488827042548213,0.5488827042548213,0.0,False
